from_iso3,to_iso3,existing_mw,planned_mw,multiplier,delta_mw,ren_op_src_mw,ren_pipe_src_mw,curtail_risk,unlock_potential,pipe_per_line_mw,lever_score_GW
AUT,CHE,1200.0,100.0,0.08326394671107411,-1100.0,16863.4,3312.6,14.041132389675273,199.76237623762376,32.798019801980196,0.012510616119542526
HUN,SRB,750.0,500.0,0.6657789613848203,-250.0,4380.1,447.0,5.832356857523303,9.63493013972056,0.8922155688622755,0.01194626350896719
HUN,ROU,1100.0,1637.0,1.4868301544050864,537.0,4380.1,447.0,3.9782924613987287,2.946947496947497,0.27289377289377287,0.011879619738665987
ARM,GEO,200.0,350.0,1.7412935323383085,150.0,1246.2,622.3,6.2,5.323361823361823,1.7729344729344727,0.011569666881315154
CHE,DEU,4200.0,1900.0,0.4522732682694596,-2300.0,14437.7,2031.5,3.4367293501547254,8.6634402945818,1.068648079957917,0.011249078563861745
CHE,ITA,3750.0,1200.0,0.3199146894161557,-2550.0,14437.7,2031.5,3.849026926153026,13.712905911740217,1.6915070774354704,0.01119497278898157
ALB,MKD,500.0,500.0,0.998003992015968,0.0,2124.2,3594.5,4.239920159680638,11.414570858283433,7.174650698602794,0.010296603610597366
ARM,IRN,350.0,850.0,2.421652421652422,500.0,1246.2,622.3,3.5504273504273507,2.1956521739130435,0.7312573443008225,0.01022230635545632
BEL,NLD,2400.0,3000.0,1.2494793835901707,600.0,6179.1,4329.8,2.573552686380675,3.5017994001999337,1.4427857380873044,0.010197015940038242
CHE,FRA,3700.0,500.0,0.13509862199405567,-3200.0,14437.7,2031.5,3.901026749527155,32.872654690618766,4.054890219560878,0.009880951767845727
GEO,RUS,950.0,1000.0,1.0515247108307044,50.0,3008.6,2699.8,3.1636172450052573,5.7026973026973025,2.6971028971028974,0.009854538841973529
CZE,DEU,1600.0,1150.0,0.7183010618363522,-450.0,4783.8,132.0,2.988007495315428,4.27089487402259,0.11468288444830582,0.0097499746400607
DNK,SWE,2450.0,700.0,0.28559771521827826,-1750.0,8387.2,28705.1,3.421950224398205,52.91340941512126,40.948787446504994,0.009740832587190164
BEL,FRA,2800.0,2500.0,0.8925383791503034,-300.0,6179.1,4329.8,2.206033559443056,4.20187924830068,1.7312275089964015,0.009115749623677174
BIH,HRV,750.0,298.0,0.3968042609853529,-452.0,2939.5,5708.0,3.914114513981358,28.921404682274247,19.090301003344482,0.009075742209772801
HUN,SVK,1800.0,800.0,0.4441976679622432,-1000.0,4380.1,447.0,2.432037756801777,6.026342072409489,0.5580524344569289,0.008244697393595138
CZE,SVK,1800.0,500.0,0.277623542476402,-1300.0,4783.8,132.0,2.6561910049972237,9.811976047904192,0.2634730538922156,0.008059344271252985
EST,FIN,1016.0,700.0,0.688298918387414,-316.0,1733.6,13358.1,1.7046214355948868,21.528815977175466,19.05577746077033,0.0065194960419208275
MNE,SRB,580.0,760.0,1.3080895008605853,180.0,783.9,3803.0,1.3492254733218587,6.027463863337713,4.9973718791064385,0.005666545396144977
MDA,ROU,416.0,200.0,0.47961630695443647,-216.0,213.7,0.0,0.5124700239808153,1.06318407960199,0.0,0.0021942110730988804
